#Name, Date, RaDeg, DecDeg, AlertMag, HistoricMag, HistoricStdDev, Class, Published, Comment
Gaia18crg,2018-09-14 16:26:33,218.43948,-18.44259,19.31,20.31,0.34,"unknown",2018-09-17 18:14:59,"Gaia source (on faint PanSTARRS source) brightens by 1.5 mag"
Gaia18crf,2018-09-12 10:59:34,346.91589,42.31443,18.19,19.22,0.04,"unknown",2018-09-17 18:12:09,"1 mag short rise in red source"
Gaia18cre,2018-09-11 01:13:05,123.54272,-33.47744,12.49,12.69,0.03,"unknown",2018-09-17 07:50:03,"0.2 mag brightening in Galactic plane source"
Gaia18crd,2018-09-16 00:48:53,350.25184,49.77067,17.39,18.61,0.31,"CV",2018-09-17 07:47:49,"known CV MASTER J232100.42+494614.0 brightens by >1 mag"
Gaia18crc,2018-09-16 01:20:30,24.15426,32.01114,13.60,15.15,0.67,"CV",2018-09-17 07:47:10,"Bright CV in outburst TW Tri"
Gaia18crb,2018-09-15 18:36:23,332.06896,52.04127,18.92,,,"unknown",2018-09-17 07:42:12,"blue Galactic plane transient"
Gaia18cra,2018-09-16 07:50:53,168.16708,-50.81295,16.91,,,"unknown",2018-09-17 07:41:30,"blue hostless transient"
Gaia18cqz,2018-09-16 00:47:20,75.83995,-28.73157,18.29,,,"SN II",2018-09-17 07:40:55,"confirmed SN II"
Gaia18cqy,2018-09-15 21:09:36,234.54082,3.62321,18.81,,,"unknown",2018-09-17 07:39:59,"candidate SN in starforming galaxy 2MASX J15380998+0337255"
Gaia18cqx,2018-09-16 01:17:16,110.57036,-49.00124,17.91,,,"unknown",2018-09-17 07:39:27,"apparently hostless blue transient"
Gaia18cqw,2018-09-15 19:53:58,172.93134,-48.20528,15.82,,,"unknown",2018-09-17 07:38:56,"apparently hostless bright blue transient"
Gaia18cqv,2018-09-14 18:33:23,328.13460,49.07207,16.86,,,"unknown",2018-09-17 07:38:18,"new blue source near the Galactic plane"
Gaia18cqu,2018-09-15 10:52:39,336.18111,50.52754,17.11,,,"unknown",2018-09-17 07:37:33,"new blue source near the Galactic plane, 5.5 arcsec from known CV MR Lac"
