"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"44657","AT 2019pql","21:46:41.772","-24:59:02.00","","","GALEXASC J214641.72-245859.3","","ALeRCE","","ALeRCE","ZTF19abxrnwd","P48 - ZTF-Cam","","1","1","","19.6087","g-ZTF","2019-09-07 07:09:19","ALeRCE","",""
"44658","AT 2019pqm","19:54:54.581","+62:26:57.04","","","SDSS J195454.11+622656.7","0.057","ALeRCE","","ALeRCE","ZTF19abxrlbw","P48 - ZTF-Cam","","1","1","","19.9559","r-ZTF","2019-09-07 06:26:47","ALeRCE","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44659","AT 2019pqn","16:04:03.873","+18:28:18.27","","","2MASX J16040389+1828165","0.037151","ALeRCE, ZTF","","ALeRCE; ZTF","ZTF19abvvpoh","P48 - ZTF-Cam","","1","1","","18.1828","r-ZTF","2019-09-07 05:05:53","ALeRCE","",""
"44660","AT 2019pqo","15:41:30.333","+15:47:03.30","","","NGC 5980","0.013649","ALeRCE, ATLAS","","ALeRCE; ATLAS","ZTF19abxqppy","P48 - ZTF-Cam, ATLAS1 - ACAM1","","1","1","","18.6697","r-ZTF","2019-09-07 05:05:53","ALeRCE","",""
"44661","AT 2019pqp","05:18:50.160","-17:16:05.09","","","2MASX J05185050-1716049","","ALeRCE, ZTF","","ALeRCE; ZTF","ZTF19abxvqtc","P48 - ZTF-Cam","","1","1","","19.2632","r-ZTF","2019-09-07 12:07:59","ALeRCE","",""
"44662","AT 2019pqq","18:22:54.950","+07:48:41.76","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dxx","Gaia - Gaia-photometric","","1","1","","17.53","G-Gaia","2019-09-05 23:02:24","Gaia_Bot1","",""
"44663","AT 2019pqr","02:14:16.210","-61:49:33.67","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dxy","Gaia - Gaia-photometric","","1","1","","18.8","G-Gaia","2019-09-04 19:24:57","Gaia_Bot1","",""
"44664","AT 2019pqs","18:44:10.660","-02:14:52.98","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dxz","Gaia - Gaia-photometric","","1","1","","17.75","G-Gaia","2019-09-06 04:52:19","Gaia_Bot1","",""
"44665","AT 2019pqt","18:08:07.540","+13:15:05.44","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dya","Gaia - Gaia-photometric","","1","1","","15.6","G-Gaia","2019-09-06 03:21:36","Gaia_Bot1","",""
"44666","AT 2019pqu","17:43:05.740","+23:11:08.56","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyb","Gaia - Gaia-photometric","","1","1","","16.45","G-Gaia","2019-09-05 23:18:14","Gaia_Bot1","",""
"44667","AT 2019pqv","12:26:43.860","+59:35:22.38","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyc","Gaia - Gaia-photometric","","1","1","","18.98","G-Gaia","2019-09-05 22:30:43","Gaia_Bot1","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44668","AT 2019pqw","02:39:08.460","-56:39:15.34","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyd","Gaia - Gaia-photometric","","1","1","","19.4","G-Gaia","2019-09-05 19:20:38","Gaia_Bot1","",""
"44669","AT 2019pqx","08:35:24.370","+38:46:57.18","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dye","Gaia - Gaia-photometric","","1","1","","17.23","G-Gaia","2019-09-05 17:11:02","Gaia_Bot1","",""
"44670","AT 2019pqy","08:51:27.680","+41:34:58.58","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyf","Gaia - Gaia-photometric","","1","1","","19.08","G-Gaia","2019-09-06 00:53:16","Gaia_Bot1","",""
"44671","AT 2019pqz","19:22:27.470","-18:05:53.12","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyh","Gaia - Gaia-photometric","","1","1","","17.17","G-Gaia","2019-09-06 10:35:02","Gaia_Bot1","",""
"44672","AT 2019pra","18:18:16.280","+06:02:21.48","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dym","Gaia - Gaia-photometric","","1","1","","18.13","G-Gaia","2019-09-06 15:14:24","Gaia_Bot1","",""
"44673","AT 2019prb","06:39:11.850","+03:08:26.74","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyn","Gaia - Gaia-photometric","","1","1","","17.46","G-Gaia","2019-09-06 17:58:33","Gaia_Bot1","",""
"44674","AT 2019prc","05:35:14.688","+17:36:32.32","","","","","ATLAS","","ATLAS","ATLAS19uug","ATLAS1 - ACAM1","","1","1","","18.343","orange-ATLAS","2019-09-07 12:20:09","ATLAS_Bot1","",""
"44675","AT 2019prd","06:45:01.351","+29:14:47.23","","","","","ATLAS","","ATLAS","ATLAS19uuj","ATLAS1 - ACAM1","","1","1","","19.051","orange-ATLAS","2019-09-07 14:51:21","ATLAS_Bot1","",""
"44676","AT 2019pre","00:24:17.766","+05:12:03.64","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezo","PS1 - GPC1","","1","1","","20.76","w-PS1","2019-09-04 12:36:00","PS1_Bot1","",""
"44677","AT 2019prf","00:29:31.557","+02:27:15.47","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezp","PS1 - GPC1","","1","1","","20.21","w-PS1","2019-09-04 12:37:26","PS1_Bot1","",""
"44678","AT 2019prg","00:47:43.341","+10:18:38.39","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezr","PS1 - GPC1","","1","1","","21.35","w-PS1","2019-08-31 13:45:07","PS1_Bot1","",""
"44679","AT 2019prh","00:17:23.118","+10:39:36.86","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezs","PS1 - GPC1","","1","1","","21.28","w-PS1","2019-08-31 13:36:28","PS1_Bot1","",""
"44680","AT 2019pri","15:56:23.154","+12:08:53.54","","","","","ZTF","","ZTF","ZTF19abutqrg","P48 - ZTF-Cam","","1","1","","19.99","r-ZTF","2019-08-31 03:18:12","ZTF_AMPEL_COMPLETE","",""
"44681","AT 2019prj","15:59:27.691","+39:53:36.16","","","","","ZTF","","ZTF","ZTF19abxdnmh","P48 - ZTF-Cam","","1","1","","19.23","r-ZTF","2019-09-08 03:22:13","ZTF_AMPEL_NEW","",""
"44682","AT 2019prk","14:44:27.280","+32:00:09.40","","","","","ZTF, GaiaAlerts","","GaiaAlerts; ZTF","ZTF19abxwfgr","P48 - ZTF-Cam, Gaia - Gaia-photometric","","1","1","","18.99","r-ZTF","2019-09-08 03:04:48","ZTF_AMPEL_NEW","",""
"44683","AT 2019prl","14:43:11.709","+22:34:45.50","","","","","ZTF","","ZTF","ZTF19abxwhwu","P48 - ZTF-Cam","","1","1","","19.33","g-ZTF","2019-09-08 03:36:43","ZTF_AMPEL_NEW","",""
"44684","AT 2019prm","13:58:56.508","+72:20:08.14","","","","","ZTF","","ZTF","ZTF19abxwkij","P48 - ZTF-Cam","","1","1","","19.53","r-ZTF","2019-09-08 03:08:03","ZTF_AMPEL_NEW","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44685","AT 2019prn","16:45:31.186","+29:50:25.61","","","","","ZTF","","ZTF","ZTF18aanstge","P48 - ZTF-Cam","","1","1","","19.2","r-ZTF","2019-09-01 03:28:24","ZTF_AMPEL_COMPLETE","",""
"44686","AT 2019pro","15:02:49.186","+08:11:36.20","","","","","ZTF","","ZTF","ZTF19abtuidz","P48 - ZTF-Cam","","1","1","","19.56","g-ZTF","2019-08-31 03:54:32","ZTF_AMPEL_COMPLETE","",""
"44687","AT 2019prp","15:07:08.794","+10:51:22.09","","","","","ZTF","","ZTF","ZTF19abutkqd","P48 - ZTF-Cam","","1","1","","19.74","r-ZTF","2019-08-31 03:18:51","ZTF_AMPEL_COMPLETE","",""
"44688","AT 2019prq","18:48:36.740","-05:07:24.38","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyo","Gaia - Gaia-photometric","","1","1","","17.63","G-Gaia","2019-09-06 10:49:26","Gaia_Bot1","",""
"44689","AT 2019prr","02:39:27.560","-53:45:08.10","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyp","Gaia - Gaia-photometric","","1","1","","17.31","G-Gaia","2019-09-06 13:20:38","Gaia_Bot1","",""
"44690","AT 2019prs","14:23:37.777","+65:07:55.73","","","","","ZTF","","ZTF","ZTF19abvitks","P48 - ZTF-Cam","","1","1","","18.89","r-ZTF","2019-09-08 03:07:24","ZTF_AMPEL_NEW","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44691","AT 2019prt","17:09:45.521","+31:44:21.22","","","","","ZTF","","ZTF","ZTF19abxdnhr","P48 - ZTF-Cam","","1","1","","19.05","r-ZTF","2019-09-08 03:26:52","ZTF_AMPEL_NEW","",""
"44692","AT 2019pru","15:58:19.584","+46:55:40.81","","","","","ZTF, ATLAS","","ATLAS; ZTF","ZTF19abxdnzt","P48 - ZTF-Cam, ATLAS1 - ACAM1","","1","1","","18.48","r-ZTF","2019-09-08 03:18:11","ZTF_AMPEL_NEW","",""
"44693","AT 2019prv","20:10:29.031","+07:04:32.49","","","","","ZTF","","ZTF","ZTF19abqnebf","P48 - ZTF-Cam","","1","1","","17.02","g-ZTF","2019-08-25 06:18:50","ZTF_AMPEL_COMPLETE","",""
"44694","AT 2019prw","18:30:20.204","+50:44:47.32","","","","","ZTF","","ZTF","ZTF19abxfhrq","P48 - ZTF-Cam","","1","1","","19.85","g-ZTF","2019-09-07 07:22:35","ZTF_AMPEL_NEW","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44695","AT 2019prx","20:16:55.087","+66:20:32.20","","","","","ZTF","","ZTF","ZTF19abxwvrt","P48 - ZTF-Cam","","1","1","","19.16","r-ZTF","2019-09-08 06:32:36","ZTF_AMPEL_NEW","","TESS-active sector/s (14,15);TESS-Sector14;TESS-Sector15"
"44696","AT 2019pry","08:33:07.810","-04:39:35.10","","","","","MASTER","","MASTER","MASTER OT J083307.81-043935.1","Other - Other","","1","1","","17.6","Clear-","2019-09-07 03:32:21","MASTER","",""
"44697","AT 2019prz","01:16:12.794","+01:59:36.03","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezv","PS1 - GPC1","","1","1","","20.6","w-PS1","2019-09-06 13:07:40","PS1_Bot1","",""
"44698","AT 2019psa","00:20:48.957","-19:03:01.74","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezw","PS1 - GPC1","","1","1","","20.07","w-PS1","2019-09-06 12:07:12","PS1_Bot1","",""
"44699","AT 2019psb","01:56:49.100","+07:04:37.52","","","","","Pan-STARRS1","","Pan-STARRS1","PS19ezy","PS1 - GPC1","","1","1","","20.06","w-PS1","2019-09-06 13:17:45","PS1_Bot1","",""
"44700","AT 2019psc","22:31:39.189","-27:56:25.07","","","","","ZTF","","ZTF","ZTF19abtzddh","P48 - ZTF-Cam","","1","1","","19.48","r-ZTF","2019-08-31 07:31:24","ZTF_AMPEL_COMPLETE","",""
"44701","AT 2019psd","19:05:22.430","-03:18:13.32","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyq","Gaia - Gaia-photometric","","1","1","","18.81","G-Gaia","2019-09-04 09:01:26","Gaia_Bot1","",""
"44702","AT 2019pse","18:54:21.100","+00:52:39.86","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dyr","Gaia - Gaia-photometric","","1","1","","17.41","G-Gaia","2019-09-04 16:52:19","Gaia_Bot1","",""
"44703","AT 2019psf","06:20:39.740","-02:04:44.90","","","","","GaiaAlerts, ZTF","","GaiaAlerts; ZTF","Gaia19dyt","Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","15.67","G-Gaia","2019-09-07 06:07:12","Gaia_Bot1","",""
