"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"70314","AT 2020ywc","21:55:46.673","-18:06:55.39","","","WISEA J215546.58-180654.9","","ALeRCE, ATLAS","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acoygnk","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.57","r-ZTF","2020-10-30 04:33:30.004","ALeRCE","",""
"70313","AT 2020ywb","18:29:00.872","+57:51:35.32","","","WISEA J182901.11+575140.4","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acoxuvx","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","20.0888","r-ZTF","2020-10-29 02:21:42.002","ALeRCE","",""
"70312","AT 2020ywa","01:08:03.440","+76:29:44.63","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fcc","Gaia - Gaia-photometric","","1","1","","13.85","G-Gaia","2020-11-02 15:48:57.600","Gaia_Bot1","",""
"70311","AT 2020yvz","21:35:44.030","+48:03:57.70","","","","","XOSS","XOSS","","XOSS","XM10HT","Other - Other","","1","1","","17.53","Clear-","2020-11-03 17:09:16.000","Zhang","",""
"70310","AT 2020yvy","00:38:40.538","+26:49:43.34","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20kuk","PS1 - GPC1","","1","1","","20.09","w-PS1","2020-09-19 12:34:33.600","PS2_Bot1","",""
"70309","AT 2020yvx","08:05:19.723","+29:48:31.16","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20kui","PS1 - GPC1","","1","1","","19.91","w-PS1","2020-10-24 14:32:38.400","PS2_Bot1","",""
"70308","AT 2020yvw","06:19:02.427","-09:57:23.77","","","","","ATLAS","ATLAS","","ATLAS","ATLAS20bevy","ATLAS1 - ACAM1","","1","1","","15.906","orange-ATLAS","2020-11-03 11:51:21.600","ATLAS_Bot1","",""
"70307","SN 2020yvv","23:59:13.568","+38:37:50.43","SN Ib","0.032","","","ATLAS","ATLAS","Padova-Asiago","ATLAS","ATLAS20bevx","ATLAS1 - ACAM1","Ekar - AFOSC","1","1","","18.931","orange-ATLAS","2020-11-03 09:17:16.800","ATLAS_Bot1","",""
"70306","SN 2020yvu","23:00:59.870","+40:54:38.16","SN Ia","0.01","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","SCAT","ATLAS; GaiaAlerts; ZTF","ATLAS20bevw","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.043","orange-ATLAS","2020-11-04 08:49:55.200","ATLAS_Bot1","",""
"70305","AT 2020yvt","10:03:51.823","+59:26:10.29","","","","","ZTF","ZTF","","ZTF","ZTF19aanbpus","P48 - ZTF-Cam","","1","1","","17.56","r-ZTF","2020-11-04 11:45:31.680","ZTF_AMPEL_COMPLETE","",""
"70304","SN 2020yvs","10:24:22.777","+41:42:25.91","SN Ia","0.0445","","","ZTF","ZTF","ZTF","ZTF","ZTF18aabbemk","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.13","g-ZTF","2020-10-30 12:47:46.752","ZTF_AMPEL_COMPLETE","",""
"70303","AT 2020yvr","02:24:29.411","+04:55:38.22","","","","","ZTF, ATLAS","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acorqqy","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.86","r-ZTF","2020-10-28 07:04:34.176","ZTF_AMPEL_COMPLETE","","TESS-active sector/s (30,31);TESS-Sector31"
"70302","AT 2020yvq","12:48:21.210","-76:43:01.60","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fcb","Gaia - Gaia-photometric","","1","1","","16.4","G-Gaia","2020-11-02 08:26:52.800","Gaia_Bot1","",""
"70301","AT 2020yvp","11:56:30.350","-63:10:24.06","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fca","Gaia - Gaia-photometric","","1","1","","16.73","G-Gaia","2020-11-02 08:11:02.400","Gaia_Bot1","",""
"70300","AT 2020yvo","21:16:09.970","-75:46:44.90","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fbz","Gaia - Gaia-photometric","","1","1","","17.56","G-Gaia","2020-11-02 19:07:40.800","Gaia_Bot1","",""
"70299","AT 2020yvn","12:47:31.890","-73:01:45.08","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fby","Gaia - Gaia-photometric","","1","1","","18.61","G-Gaia","2020-11-02 18:37:26.400","Gaia_Bot1","",""
"70298","AT 2020yvm","11:39:21.640","-46:12:02.99","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fbx","Gaia - Gaia-photometric","","1","1","","18.77","G-Gaia","2020-11-02 13:53:45.600","Gaia_Bot1","",""
"70297","AT 2020yvl","17:18:03.650","-85:04:34.72","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fbw","Gaia - Gaia-photometric","","1","1","","18.84","G-Gaia","2020-11-02 06:53:16.800","Gaia_Bot1","",""
"70296","AT 2020yvk","23:05:59.040","-11:14:40.02","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fbv","Gaia - Gaia-photometric","","1","1","","18.49","G-Gaia","2020-11-02 16:06:14.400","Gaia_Bot1","",""
"70295","SN 2020yvj","00:07:09.584","+39:10:15.74","SN Ia","0.09","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20acoqlav","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.15","g-ZTF","2020-11-02 04:35:42.144","ZTF_AMPEL_COMPLETE","",""
"70294","AT 2020yvi","18:39:09.536","+38:22:37.66","","","","","ZTF","ZTF","","ZTF","ZTF20acoxxkg","P48 - ZTF-Cam","","1","1","","19.06","g-ZTF","2020-11-01 04:55:45.696","ZTF_AMPEL_COMPLETE","",""
"70293","AT 2020yvh","18:02:36.593","+60:57:55.08","","","","","ZTF, ATLAS","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acoxudw","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.38","r-ZTF","2020-11-01 03:45:45.792","ZTF_AMPEL_COMPLETE","",""
"70292","AT 2020yvg","20:30:54.928","+19:20:17.05","","","WISEA J203055.22+192023.0","","ALeRCE, ATLAS","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acovdho","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.7853","g-ZTF","2020-11-03 02:51:01.996","ALeRCE","",""
