#Yuan et al 2016, 450 Days of Type II SN 2013ej in Optical and Near-Infrared
#Table 2: Optical and NIR photometric observations of SN 2013ej.
#UT Date, JD (-2400000), Magnitude (error), filter, Telescope/Instrument (see footnote)
2013/07/27 , 56500.878 ,         12.25 (0.06) ,     U ,      1m004
2013/07/28 , 56501.878 ,         12.16 (0.05) ,     U ,      1m004
2013/08/03 , 56507.859 ,         12.12 (0.06) ,     U ,      1m008
2013/08/04 , 56508.862 ,         12.13 (0.08) ,     U ,      1m008
2013/08/05 , 56509.932 ,         12.21 (0.06) ,     U ,      1m008
2013/08/06 , 56510.867 ,         12.32 (0.05) ,     U ,      1m008
2013/08/09 , 56513.839 ,         12.53 (0.05) ,     U ,      1m008
2013/08/09 , 56513.876 ,         12.51 (0.06) ,     U ,      1m004
2013/08/10 , 56514.811 ,         12.62 (0.05) ,     U ,      1m009
2013/08/13 , 56517.590 ,         12.74 (0.13) ,     U ,      AFOSC
2013/08/13 , 56517.894 ,         12.92 (0.06) ,     U ,      1m004
2013/08/14 , 56518.792 ,         13.00 (0.05) ,     U ,      1m004
2013/08/15 , 56519.793 ,         13.15 (0.04) ,     U ,      1m009
2013/08/16 , 56520.784 ,         13.20 (0.06) ,     U ,      1m009
2013/08/17 , 56521.780 ,         13.30 (0.06) ,     U ,      1m005
2013/08/18 , 56522.943 ,         13.46 (0.04) ,     U ,      1m008
2013/08/20 , 56524.842 ,         13.68 (0.07) ,     U ,      1m005
2013/08/21 , 56525.803 ,         13.74 (0.07) ,     U ,      1m008
2013/08/21 , 56525.817 ,         13.79 (0.06) ,     U ,      1m009
2013/08/22 , 56526.832 ,         13.89 (0.04) ,     U ,      1m004
2013/08/24 , 56529.271 ,         14.02 (0.06) ,     U ,      1m003
2013/08/25 , 56529.805 ,         14.14 (0.05) ,     U ,      1m004
2013/08/29 , 56533.931 ,         14.45 (0.06) ,     U ,      1m008
2013/08/30 , 56534.826 ,         14.50 (0.06) ,     U ,      1m008
2013/08/31 , 56535.848 ,         14.61 (0.07) ,     U ,      1m008
2013/09/01 , 56536.838 ,         14.67 (0.06) ,     U ,      1m008
2013/09/03 , 56538.909 ,         14.78 (0.06) ,     U ,      1m008
2013/09/06 , 56541.867 ,         15.02 (0.06) ,     U ,      1m008
2013/09/08 , 56543.854 ,         15.18 (0.06) ,     U ,      1m008
2013/09/09 , 56544.864 ,         15.18 (0.06) ,     U ,      1m008
2013/09/14 , 56549.858 ,         15.35 (0.06) ,     U ,      1m008
2013/09/24 , 56559.755 ,         15.92 (0.06) ,     U ,      1m008
2013/09/26 , 56561.741 ,         16.00 (0.05) ,     U ,      1m008
2013/09/29 , 56564.749 ,         16.10 (0.06) ,     U ,      1m008
2013/10/08 , 56574.489 ,         16.46 (0.07) ,     U ,      1m013
2013/10/09 , 56574.507 ,         16.44 (0.05) ,     U ,      1m010
2013/10/13 , 56579.489 ,         16.31 (0.07) ,     U ,      1m010
2013/10/18 , 56583.600 ,         16.81 (0.08) ,     U ,      1m004
2013/10/20 , 56585.618 ,         16.94 (0.10) ,     U ,      1m004
2013/10/22 , 56588.328 ,         17.03 (0.15) ,     U ,      1m010
2013/10/25 , 56590.922 ,         17.09 (0.11) ,     U ,      1m008
2013/10/26 , 56591.615 ,         17.39 (0.09) ,     U ,      1m009
2013/10/28 , 56593.607 ,         17.35 (0.12) ,     U ,      1m005
2013/10/28 , 56593.638 ,         17.25 (0.11) ,     U ,      1m005
2013/10/29 , 56595.380 ,         17.61 (0.19) ,     U ,      1m012
2013/11/03 , 56600.470 ,         18.22 (0.21) ,     U ,      1m010
2013/11/12 , 56608.840 ,         18.46 (0.10) ,     U ,      1m008
2013/11/24 , 56621.267 ,         18.75 (0.32) ,     U ,      1m012
2013/11/26 , 56623.340 ,         18.53 (0.10) ,     U ,      1m012
2013/11/27 , 56624.291 ,         18.81 (0.41) ,     U ,      1m012
2013/07/24 , 56498.318 ,         14.57 (0.06) ,     B ,        LOT
2013/07/27 , 56500.836 ,         12.94 (0.04) ,     B ,      1m004
2013/07/27 , 56500.894 ,         12.93 (0.05) ,     B ,      1m004
