SNLS-03D1ar	02 27 14.680	-04 19 05.05	0.41	52901	-	-
SNLS-03D1au	02 24 10.380	-04 02 14.96	0.50	52901	-	A06
SNLS-03D1aw	02 24 14.780	-04 31 01.61	0.58	52901	-	A06
SNLS-03D1ax	02 24 23.320	-04 43 14.41	0.50	52901	-	A06, H05
SNLS-03D1bp	02 26 37.720	-04 50 19.34	0.35	52913	-	A06, B06
SNLS-03D1dj	02 26 19.082	-04 07 09.38	0.40	52962	1-3, 5	A06
SNLS-03D1fb	02 27 12.855	-04 07 16.40	0.50	52991	-	A06, B06
SNLS-03D1fc	02 25 43.602	-04 08 38.77	0.33	52991	-	A06, B06
SNLS-03D1gt	02 24 56.012	-04 07 37.08	0.55	53000	2, 4	A06, B06
SNLS-04D1ag	02 24 41.108	-04 17 19.69	0.56	53019	5	A06, B06
SNLS-04D1ak	02 27 33.399	-04 19 38.73	0.53	53019	-	A06, B06
SNLS-04D1dc	02 26 18.477	-04 18 43.28	0.21	53228	2	-
SNLS-04D1hd	02 26 08.850	-04 06 35.22	0.37	53254	-	H05
SNLS-04D1hx	02 24 42.485	-04 47 25.38	0.56	53254	-	-
SNLS-04D1jg	02 26 12.567	-04 08 05.34	0.58	53267	-	-
SNLS-04D1kj	02 27 52.669	-04 10 49.29	0.58	53283	-	-
SNLS-04D1oh	02 25 02.372	-04 14 10.52	0.59	53294	-	-
SNLS-04D1pg	02 27 04.162	-04 10 31.35	0.51	53312	-	-
SNLS-04D1rh	02 27 47.160	-04 15 13.60	0.43	53344	-	-
SNLS-04D1sa	02 27 56.161	-04 10 34.31	0.59	53351	-	-
SNLS-04D2ac	10 00 18.924	+02 41 21.45	0.35	53022	5	A06, B06
SNLS-04D2bt	09 59 32.739	+02 14 53.22	0.22	53081	1-4	A06, B06
SNLS-04D2cf	10 01 56.048	+01 52 45.90	0.37	53081	1-4	A06, B06
SNLS-04D2cw	10 01 22.821	+02 11 55.66	0.57	53081	2-5	A06, B06
SNLS-04D2fp	09 59 28.183	+02 19 15.20	0.41	53094	-	A06, B06
SNLS-04D2fs	10 00 22.110	+01 45 55.64	0.36	53094	-	A06, B06
SNLS-04D2gb	10 02 22.712	+01 53 39.16	0.43	53094	-	A06
SNLS-04D2gc	10 01 39.267	+01 52 59.52	0.52	53106	-	A06
SNLS-04D2mh	09 59 45.872	+02 08 27.94	0.60	53356	-	-
SNLS-04D2mj	10 00 36.535	+02 34 37.44	0.51	53356	-	-
SNLS-05D2ab	10 01 50.833	+02 06 23.02	0.32	53375	-	-
SNLS-05D2ac	09 58 59.244	+02 29 22.22	0.49	53375	-	-
SNLS-05D2bv	10 02 17.008	+02 14 26.05	0.47	53391	-	-
SNLS-05D2cb	09 59 24.592	+02 19 41.34	0.43	53409	-	-
SNLS-05D2dm	10 02 07.611	+02 03 17.35	0.57	53441	-	-
SNLS-05D2dw	09 58 32.058	+02 01 56.36	0.42	53441	-	-
SNLS-05D2dy	10 00 58.083	+02 10 59.52	0.50	53441	2	-
SNLS-05D2ec	09 59 26.170	+02 00 49.36	0.53	53441	1, 2	-
SNLS-05D2ei	10 01 39.103	+01 49 12.02	0.37	53441	-	-
SNLS-05D2hc	10 00 04.574	+01 53 09.94	0.36	53463	-	-
SNLS-05D2ie	10 01 02.907	+02 39 28.90	0.35	53467	-	-
SNLS-04D3df	14 18 10.020	+52 16 40.13	0.47	53110	-	A06
SNLS-04D3ez	14 19 07.916	+53 04 18.88	0.26	53110	-	A06
SNLS-04D3fk	14 18 26.212	+52 31 42.74	0.36	53117	-	A06
SNLS-04D3gt	14 22 32.594	+52 38 49.52	0.45	53124	-	A06
SNLS-04D3hn	14 22 06.878	+52 13 43.46	0.55	53124	-	A06, H05
SNLS-04D3kr	14 16 35.937	+52 28 44.20	0.34	53147	-	A06, H05
SNLS-04D3nh	14 22 26.729	+52 20 00.92	0.34	53166	1, 2	A06, H05
SNLS-04D3nq	14 20 19.193	+53 09 15.90	0.22	53176	-	A06, H05
SNLS-05D3cf	14 16 53.369	+52 20 42.47	0.42	53410	-	-
SNLS-05D3ci	14 21 48.085	+52 26 43.33	0.51	53416	-	-
SNLS-05D3dd	14 22 30.410	+52 36 24.76	0.48	53441	-	-
SNLS-05D3gp	14 22 42.338	+52 43 28.71	0.58	53462	-	-
SNLS-05D3hq	14 17 43.058	+52 11 22.67	0.34	53474	-	-
SNLS-05D3jq	14 21 45.462	+53 01 47.53	0.58	53474	-	-
SNLS-05D3jr	14 19 28.768	+52 51 53.34	0.37	53474	1, 2	-
SNLS-05D3kx	14 21 50.020	+53 08 13.49	0.22	53519	-	-
