#Name	Type	alpha(J2000)	delta(J2000)	M_R, peak	z	DM	t_rise	t_peak	FAP	
#(deg)	(deg)	(mag)	(mag)	(day)	(day)	
SN 2010jl	IIn	145.722236	+09.495037	-20.6	0.011	33.44	55474	55494	0.01	
SN 2010jj	IIn	31.717743	+44.571558	-18.0:	0.016	34.22	55512	55525	0.02	
PTF 10achk	IIn	46.489751	-10.522491	-18.7	0.0327	35.77	55535	55550	0.00	
PTF 10bjb	IIn?	192.424667	-10.800159	< -16.4	0.026	35.27	55326	55434	 ... 	
SN 2010bq	IIn	251.730659	+34.159641	-18.5	0.032	35.73	55296	55311	0.00	
PTF 10gvf	IIn	168.438496	+53.629126	-18.8	0.081	37.82	55321	55339	0.00	
SN 2010mc	IIn	260.377817	+48.129834	-18.5	0.035	35.93	55427	55447	0.00	
PTF 10weh	IIn	261.710251	+58.852064	-20.7	0.138	39.06	55453	55504	0.02	
PTF 11fzz	IIn	167.694502	+54.105220	-20.3	0.082	37.85	55721	55783	0.00	
PTF 12cxj	IIn?	198.161181	+46.485090	-17.3	0.036	35.96	56033	56048	0.01	
SN 2011cc	IIn	248.456000	+39.263528	-18.1:	0.0319	35.72	55624	55741	0.02	
SN 2011fx	IIn	4.498167	+24.562778	-17.1:	0.0193	34.61	55780:	55803:	0.00	
SN 2011ht	IIn	152.044083	+51.849194	-16.8	0.004	30.96	55830:	55880:	0.00	
SN 2011hw	IIn/Ibn	336.560583	+34.216417	-19.1:	0.023	34.99	55860	55884:	 ... 	
SN 2011iw	IIn	353.700833	-24.750444	-18.1:	0.023	34.99	55819	55894:	0.04	
SN 2012as	IIn	231.285500	+37.963722	-18.0:	0.0297	35.56	55968:	55976:	0.00	
