Title: The hydrogen-poor superluminous supernova iPTF 13ajg and 
       its host galaxy in absorption and emission  
Authors: Vreeswijk P.M., Savaglio S., Gal-Yam A., De Cia A., Quimby R.M., 
         Sullivan M., Cenko S.B., Perley D.A., Filippenko A.V., Clubb K.I., 
         Taddia F., Sollerman J., Leloudas G., Arcavi I., Rubin A., 
         Kasliwal M.M., Cao Y., Yaron O., Tal D., Ofek E.O., Capone J., 
         Kutyrev A.S., Toy V., Nugent P.E., Laher R., Surace J., Kulkarni S.R. 
Table: Log of imaging observations of iPTF 13ajg
================================================================================
Byte-by-byte Description of file: apj503275t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   d       MJD     Modified Julian Date
  11- 17 F7.3   d       Time    Observed time relative to R band peak (1)
  19- 25 F7.3   d       Phase   Phase
  27- 38 A12    ---     Tel     Telescope used
  40- 46 A7     min     Exp     Exposure time 
  48- 50 A3     ---     Filter  Filter used
  52- 54 F3.1   arcsec  Seeing  Seeing
      56 A1     ---   l_mag     Limit flag on mag
  58- 62 F5.2   mag     mag     Magnitude in Filter (2)
  64- 67 F4.2   mag   e_mag     ? Uncertainty in mag
--------------------------------------------------------------------------------
Note (1): Where R band peak was JD = 2456406.1.
Note (2): The magnitudes have not been corrected for Galactic extinction.
--------------------------------------------------------------------------------
56324.553 -81.047 -46.571 P48          2X1.0   R   2.5 > 21.43      
56327.550 -78.050 -44.849 P48          1.0     R   2.5 > 21.50      
56341.043 -64.557 -37.095 P48          2X1.0   R   2.6 > 22.00      
56356.484 -49.116 -28.223 P48          1.0     R   2.7 > 20.87      
56362.969 -42.631 -24.496 P48          6X1.0   R   2.8   21.26 0.14 
56365.545 -40.055 -23.016 P48          3X1.0   R   2.5   21.67 0.43 
56367.502 -38.098 -21.892 P48          2X1.0   R   2.7 > 20.31      
56369.448 -36.152 -20.773 P48          3X1.0   R   2.8   21.24 0.15 
56372.390 -33.210 -19.083 P48          3X1.0   R   2.7 > 19.89      
56374.945 -30.655 -17.615 P48          6X1.0   R   2.7   20.91 0.12 
56376.452 -29.148 -16.749 P48          3X1.0   R   2.2   20.75 0.15 
56382.382 -23.218 -13.341 P48          1.0     R   2.8   20.70 0.30 
56385.884 -19.716 -11.329 P48          6X1.0   R   2.7   20.64 0.10 
56387.956 -17.644 -10.138 P48          4X1.0   R   2.9   20.58 0.10 
56389.389 -16.211  -9.315 P48          3X1.0   R   2.6   20.59 0.09 
56394.993 -10.607  -6.095 P48          3X1.0   R   2.6   20.34 0.08 
56396.325  -9.275  -5.330 P48          3X1.0   R   3.0   20.30 0.09 
56399.891  -5.709  -3.280 P48          6X1.0   R   2.9   20.44 0.07 
56401.899  -3.701  -2.127 P48          6X1.0   R   2.9   20.26 0.07 
56403.882  -1.718  -0.987 P48          6X1.0   R   2.2   20.23 0.06 
56405.397  -0.203  -0.117 P48          3X1.0   R   2.5   20.14 0.13 
56412.775   7.175   4.123 P48          5X1.0   R   2.7   20.39 0.10 
56415.852  10.252   5.891 P48          6X1.0   R   2.4   20.34 0.07 
56417.306  11.706   6.726 P48          2X1.0   R   3.1   20.32 0.10 
56422.881  17.281   9.930 P48          6X1.0   R   2.5   20.42 0.06 
56424.839  19.239  11.055 P48          6X1.0   R   2.5   20.46 0.06 
56426.743  21.143  12.149 P48          5X1.0   R   2.7   20.47 0.07 
56428.571  22.971  13.199 P48          4X1.0   R   2.7   20.57 0.11 
56431.886  26.286  15.104 P48          6X1.0   R   2.5   20.68 0.09 
56433.845  28.245  16.230 P48          6X1.0   R   2.5   20.56 0.10 
56440.358  34.758  19.972 P48          2X1.0   R   3.0   20.58 0.29 
56442.902  37.302  21.434 P48          4X1.0   R   2.5   21.13 0.15 
56444.810  39.210  22.531 P48          4X1.0   R   2.3   21.26 0.14 
56446.752  41.152  23.646 P48          4X1.0   R   2.1   21.22 0.12 
56448.747  43.147  24.793 P48          4X1.0   R   2.2   21.41 0.14 
56450.748  45.148  25.943 P48          4X1.0   R   2.3   21.04 0.11 
56452.744  47.144  27.090 P48          4X1.0   R   2.5   21.27 0.13 
56454.739  49.139  28.236 P48          4X1.0   R   2.3   21.39 0.15 
56456.738  51.138  29.385 P48          4X1.0   R   2.3   21.60 0.18 
56458.735  53.135  30.532 P48          4X1.0   R   2.2   21.55 0.18 
56460.730  55.130  31.678 P48          4X1.0   R   2.3   21.33 0.18 
56462.727  57.127  32.826 P48          4X1.0   R   2.4 > 21.93      
56469.205  63.605  36.548 P48          2X1.0   R   2.1   21.43 0.23 
56471.718  66.118  37.992 P48          4X1.0   R   2.4   21.66 0.21 
56473.718  68.118  39.142 P48          4X1.0   R   2.2   21.62 0.26 
56475.805  70.205  40.341 P48          4X1.0   R   2.6 > 21.68      
56477.297  71.697  41.198 P48          2X1.0   R   2.2   21.68 0.28 
56486.725  81.125  46.616 P48          4X1.0   R   2.1   22.21 0.30 
56488.800  83.200  47.808 P48          4X1.0   R   2.3 > 22.26      
56490.904  85.304  49.017 P48          3X1.0   R   2.7 > 20.97      
56395.324 -10.276  -5.905 P60          2.0     i   1.6   20.44 0.09 
56395.326 -10.274  -5.904 P60          2.0     r   1.5   20.39 0.05 
56395.327 -10.273  -5.903 P60          2.0     B   1.4   20.92 0.10 
56395.329 -10.271  -5.902 P60          2.0     g   1.4   20.74 0.06 
56406.208   0.607   0.349 P60          3.0     i   1.6   20.38 0.22 
56407.206   1.606   0.923 P60          2X3.0   B   1.7 > 20.62      
56408.200   2.600   1.494 P60          3.0     i   1.8   20.38 0.28 
