GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
161004B,715246,112.156,-39.896,15.9,88.0,-,UVOT: no detection,-,-
160917A,712505,295.652,46.4,16.0,13.0,0.89,-,-,-
160905A,711084,162.249,-50.803,64.0,150.0,1.04,-,-,-
160827A,710050,179.274,-29.178,13.3,4.0,1.95,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:09 UT on 2016 November 14.",-,-
160826A,709907,183.12,-67.664,52.6,4.9,1.54,UVOT: no detection,-,-
160824A,709765,80.087,40.039,99.3,26.0,1.64,UVOT: Possible Afterglow Detection,-,-
160815A,708598,288.616,84.298,8.6,14.0,-,-,-,-
160804A,707231,221.652,10.002,144.2,114.0,-,-,0.736,"possible host: MASTER-SAAO, TNG"
160716A,704572,190.502,-61.364,6.39,1.8,2.29,-,-,-
160705B,703176,168.107,46.707,54.4,7.3,1.79,UVOT: no detection,-,-
160703A,702699,287.414,36.913,44.4,90.0,1.34,-,0.0,-
160630A,702252,198.238,-56.029,29.5,12.0,1.32,UVOT: no detection,-,-
160625A,701503,176.939,-65.142,53.9,33.0,2.08,"Due to an observing constraint, Swift did not slew until T0+20.3 minutes.|UVOT: no detection",-,-
160611A,690598,164.417,-70.396,34.1,17.0,1.67,"Due to an observing constraint, Swift did not slew until T0+43.3 minutes.|UVOT: no detection",-,-
160607A,689597,13.661,-4.952,33.4,210.0,-,UVOT: no detection,-,-
160519A,686818,71.122,31.246,35.57,12.0,1.95,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 11:24 UT on 2016 July 22.",-,-
160506A,685245,265.857,-46.127,254.5,15.0,2.09,-,-,-
160504A,685124,170.073,56.002,53.9,7.3,1.88,UVOT: no detection,-,-
160501A,684679,286.389,-17.249,118.0,9.5,-,UVOT: no detection,-,-
160425A,684098,280.339,-54.343,304.58,21.0,2.2,-,0.555,-
160424A,683906,319.482,-60.408,6.3,12.0,1.4,"Due to an observing constraint, Swift did not slew until T0+48.7 minutes.|XRT: Please see GCN 19339 concerning position uncertainty|UVOT: no detection",-,-
160419A,683383,16.418,-27.341,8.8,35.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 01:44 UT on 2016 April 30.",-,-
160417A,683076,120.26,7.646,15.0,5.9,1.93,-,-,-
160412A,682522,33.074,-67.636,31.6,19.0,1.88,-,-,-
160410A,682269,150.695,3.461,8.2,7.8,0.93,-,1.717,-
160327A,680655,146.698,54.018,28.0,14.0,1.84,UVOT: no detection,4.99,-
160325A,680436,15.697,-72.702,64.9,71.0,1.27,-,-,-
160321A,680017,99.42,5.753,33.6,5.3,1.89,"BAT: Based on the ground analysis result, this event is very likely a GRB. However, given that it is on the Galactic Plane (lat = -0.43 deg.), we cannot rule out a galactic origin.|UVOT: no detection",-,-
160314A,679120,112.766,17.024,8.73,2.8,1.53,-,0.726,-
160313A,678929,183.821,57.278,42.6,5.8,1.36,UVOT: no detection,-,-
160303A,677495,168.71,22.71,5.0,1.5,1.01,-,0.0,r=25.8 (possible host)
160228A,676595,107.311,26.946,98.36,20.0,1.31,UVOT: no detection,-,-
160227A,676423,195.034,78.672,316.5,31.0,-,-,2.38,-
160225A,675998,164.217,53.659,157.0,16.0,1.55,UVOT: no detection,-,-
160223A,675361,147.603,9.369,127.0,50.0,1.34,"Due to the proximity to the Moon this GRB did not be observable by XRT or UVOT until 22:27UT on Feb 23rd, 2016.| XRT: We cannot determine at the present time whether the source is fading.",-,-
160220B,674734,259.851,-18.123,31.4,70.0,-,"Due to an observing constraint, Swift did not slew until T0+46.5 minutes.|UVOT: no detection",-,-
160220A,674670,236.942,-18.539,8.3,5.2,1.55,"Due to an observing constraint, Swift did not slew until T0+50.1 minutes.|UVOT: no detection",-,-
160216A,673978,311.679,-71.55,11.0,20.0,1.48,UVOT: no detection,-,-
160203A,672525,161.967,-24.772,20.2,12.0,1.93,-,3.52,-
160131A,672236,78.17,-7.037,325.0,204.0,1.24,-,0.97,-
160127A,671828,225.966,0.08,6.16,3.3,-,-,-,-
160121A,671231,109.08,-23.59,12.0,6.1,1.77,-,1.96,-
160119A,671014,211.916,20.453,116.0,71.0,1.68,UVOT: no detection,-,-
160117A,670793,20.367,-0.677,118.58,31.0,2.14,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 2016 January 18.|UVOT: no detection",-,-
160104A,669319,76.808,11.334,16.2,4.0,1.76,-,-,-
151228B,668641,344.431,8.081,48.0,24.0,-,-,-,-
151215A,667392,93.622,35.529,17.8,3.1,1.99,-,2.59,-
151210A,666931,65.08,-71.225,94.9,13.0,-,UVOT: no detection,-,-
