#Name	Date	Filter	m^a	sigma(m)	K-correction^b	
#MJD	(mag)	(mag)	(mag)	
SN2011hr	55887.52	J	14.872	0.024	-0.042	
SN2011hr	55904.47	J	16.676	0.037	0.023	
SN2011hr	55887.52	H	15.056	0.036	-0.073	
SN2011hr	55904.46	H	15.325	0.037	-0.114	
SN2011gy	55881.50	J	17.036	0.040	-0.009	
SN2011gy	55904.32	J	18.237	0.051	-0.017	
SN2011gy	55881.47	H	15.879	0.045	-0.089	
SN2011gy	55904.30	H	16.879	0.057	-0.062	
SN2011hk	55881.36	J	17.572	0.024	...	
SN2011hk	55904.28	J	19.671	0.071	...	
SN2011hk	55881.34	H	17.027	0.033	...	
SN2011hk	55904.26	H	18.415	0.057	...	
SN2011fs	55860.31	J	17.209	0.038	-0.016	
SN2011fs	55881.17	J	17.804	0.029	-0.025	
SN2011fs	55904.12	J	19.087	0.045	-0.016	
SN2011fs	55935.11	J	19.975	0.185	0.000	
SN2011fs	55860.30	H	16.281	0.040	-0.072	
SN2011fs	55881.16	H	16.908	0.035	-0.063	
SN2011fs	55904.10	H	17.886	0.044	-0.063	
SN2011fs	55935.08	H	18.829	0.135	0.000	
SN2011gf	55860.22	J	18.200	0.044	-0.065	
SN2011gf	55881.08	J	19.004	0.046	-0.066	
SN2011gf	55860.23	H	17.126	0.045	-0.042	
SN2011gf	55881.07	H	17.917	0.052	-0.054	
SN2011gf	55904.07	H	19.081	0.188	0.000	
SN2011hb	55881.29	J	17.927	0.035	-0.083	
SN2011hb	55904.20	J	17.888	0.025	-0.072	
SN2011hb	55881.28	H	17.536	0.043	-0.032	
SN2011hb	55904.18	H	17.166	0.038	-0.034	
SN2011hb	55935.14	H	18.542	0.111	-0.048	
SN2011io	55904.16	J	19.172	0.058	-0.124	
SN2011io	55904.14	H	18.343	0.055	0.020	
SN2011iu	55904.24	J	19.096	0.033	-0.141	
SN2011iu	55935.20	J	18.899	0.114	-0.198	
SN2011iu	55904.22	H	18.612	0.038	0.047	
SN2011iu	55935.18	H	18.362	0.104	-0.060	
PTF11qri	55904.54	J	19.672	0.129	-0.147	
PTF11qri	55935.47	J	19.992	0.146	-0.268	
PTF11qri	55904.52	H	19.402	0.301	0.027	
PTF11qri	55935.45	H	19.224	0.251	-0.039	
PTF11qmo	55904.50	J	19.963	0.075	-0.175	
PTF11qmo	55935.42	J	19.966	0.163	-0.275	
PTF11qmo	55904.49	H	19.176	0.068	0.083	
PTF11qmo	55935.39	H	18.729	0.099	-0.058	
PTF11qzq	55904.36	J	19.056	0.043	-0.136	
PTF11qzq	55904.34	H	18.635	0.078	-0.065	
PTF11qpc	55904.56	H	19.795	0.108	-0.079	
PTF11qpc	55935.50	H	20.122	0.225	0.126	
SN2011ha	55881.40	J	20.434	0.130	-0.756	
SN2011ha	55881.38	H	20.627	0.191	0.018
