#MJD	W1	U	B	V	
55969.26	19.30 0.23	18.30 0.14	17.81 0.08	17.05 0.08	
55971.24	18.88 0.12	17.91 0.09	17.65 0.06	16.90 0.07	
55973.41	19.06 0.13	17.92 0.09	17.52 0.06	16.77 0.06	
55975.46	19.17 0.14	18.01 0.09	17.66 0.06	16.72 0.06	
55977.05	19.13 0.21	18.21 0.15	17.73 0.09	16.66 0.09	
55979.72	19.43 0.17	18.42 0.12	17.87 0.07	16.85 0.07	
55983.60	19.69 0.20	18.77 0.14	18.16 0.08	16.86 0.07	
55985.64	19.76 0.21	19.04 0.17	18.44 0.09	17.00 0.07	
55987.62	20.27 0.72	19.43 0.52	18.27 0.18	17.13 0.18	
55988.55	20.02 0.27	19.02 0.18	18.67 0.11	17.38 0.09	
